area,item,unit,year,value
Bahrain,Goats,kt,2013,0.0966
Bahrain,Goats,kt,2014,0.0966
Bahrain,Goats,kt,2015,0.1
Bahrain,Goats,kt,2016,0.1031
Bahrain,Goats,kt,2017,0.1044
Bahrain,Goats,kt,2018,0.1305
Bahrain,Goats,kt,2019,0.1341
Bahrain,Goats,kt,2020,0.1096
Bahrain,Goats,kt,2021,0.1305
Bahrain,Goats,kt,2022,0.1274
Bahrain,Goats,kt,2023,0.1225
Bahrain,Sheep,kt,2010,0.208
Bahrain,Sheep,kt,2011,0.208
Bahrain,Sheep,kt,2012,0.2132
Bahrain,Sheep,kt,2013,0.208
Bahrain,Sheep,kt,2014,0.208
Bahrain,Sheep,kt,2015,0.2476
Bahrain,Sheep,kt,2016,0.2854
Bahrain,Sheep,kt,2017,0.3365
Bahrain,Sheep,kt,2018,0.331
Bahrain,Sheep,kt,2019,0.3258
Bahrain,Sheep,kt,2020,0.312
Bahrain,Sheep,kt,2021,0.312
Bahrain,Sheep,kt,2022,0.324
Bahrain,Sheep,kt,2023,0.316
Bangladesh,Buffalo,kt,2010,80.94
Bangladesh,Buffalo,kt,2011,83.64
Bangladesh,Buffalo,kt,2012,86.58
Bangladesh,Buffalo,kt,2013,87.9
Bangladesh,Buffalo,kt,2014,87.42
Bangladesh,Buffalo,kt,2015,87.84
Bangladesh,Buffalo,kt,2016,88.26
Bangladesh,Buffalo,kt,2017,88.68
Bangladesh,Buffalo,kt,2018,89.1
Bangladesh,Buffalo,kt,2019,89.4
Bangladesh,Buffalo,kt,2020,89.58
Bangladesh,Buffalo,kt,2021,90
Bangladesh,Buffalo,kt,2022,90.48
Bangladesh,Buffalo,kt,2023,90.96
Bangladesh,Cattle,kt,2010,942.7876
Bangladesh,Cattle,kt,2011,945.6506
Bangladesh,Cattle,kt,2012,948.6772
Bangladesh,Cattle,kt,2013,954.6486
Bangladesh,Cattle,kt,2014,960.6592
Bangladesh,Cattle,kt,2015,966.7124
Bangladesh,Cattle,kt,2016,972.8082
Bangladesh,Cattle,kt,2017,978.9432
Bangladesh,Cattle,kt,2018,985.1174
Bangladesh,Cattle,kt,2019,989.25
Bangladesh,Cattle,kt,2020,997.5936
