Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2731,Bovine Meat,2021,2021,kcal/cap/d,12.89,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2021,2021,g/cap/d,0.96,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2022,2022,kg/cap,1.89,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2731,Bovine Meat,2022,2022,kcal/cap/d,10.65,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2022,2022,g/cap/d,0.79,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2731,Bovine Meat,2023,2023,kg/cap,1.73,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2731,Bovine Meat,2023,2023,kcal/cap/d,9.72,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2731,Bovine Meat,2023,2023,g/cap/d,0.72,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2010,2010,kg/cap,5.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2010,2010,kcal/cap/d,27.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2010,2010,g/cap/d,2.3,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2011,2011,kg/cap,4.64,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2011,2011,kcal/cap/d,24.5,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2011,2011,g/cap/d,2.14,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2012,2012,kg/cap,5.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2012,2012,kcal/cap/d,26.47,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2012,2012,g/cap/d,2.31,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2013,2013,kg/cap,5.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2013,2013,kcal/cap/d,27.39,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2013,2013,g/cap/d,2.39,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2014,2014,kg/cap,5.05,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2014,2014,kcal/cap/d,26.66,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2014,2014,g/cap/d,2.32,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2015,2015,kg/cap,4.76,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2015,2015,kcal/cap/d,25.13,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2015,2015,g/cap/d,2.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2016,2016,kg/cap,4.79,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2016,2016,kcal/cap/d,25.3,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2016,2016,g/cap/d,2.21,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2017,2017,kg/cap,4.44,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2017,2017,kcal/cap/d,23.54,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2017,2017,g/cap/d,2.04,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2018,2018,kg/cap,4.31,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2018,2018,kcal/cap/d,22.81,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2018,2018,g/cap/d,1.99,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2019,2019,kg/cap,3.45,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2019,2019,kcal/cap/d,17.63,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2019,2019,g/cap/d,1.6,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2020,2020,kg/cap,4.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2020,2020,kcal/cap/d,21.21,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2020,2020,g/cap/d,1.85,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2021,2021,kg/cap,3.79,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2021,2021,kcal/cap/d,19.86,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2021,2021,g/cap/d,1.75,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2022,2022,kg/cap,3.66,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2022,2022,kcal/cap/d,19.16,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2022,2022,g/cap/d,1.69,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2732,Mutton & Goat Meat,2023,2023,kg/cap,3.57,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2732,Mutton & Goat Meat,2023,2023,kcal/cap/d,18.61,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2732,Mutton & Goat Meat,2023,2023,g/cap/d,1.65,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2014,2014,kg/cap,0.03,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2014,2014,kcal/cap/d,0.2,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2014,2014,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2015,2015,kg/cap,0.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2015,2015,kcal/cap/d,0.15,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2015,2015,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2016,2016,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2016,2016,kcal/cap/d,0.06,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2016,2016,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2017,2017,kg/cap,0.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2017,2017,kcal/cap/d,0.12,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2017,2017,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2018,2018,kg/cap,0.03,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2018,2018,kcal/cap/d,0.19,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2018,2018,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2019,2019,kg/cap,0.03,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2019,2019,kcal/cap/d,0.2,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2019,2019,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2020,2020,kg/cap,0.04,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2020,2020,kcal/cap/d,0.33,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2020,2020,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2021,2021,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2021,2021,kcal/cap/d,0.1,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2733,Pigmeat,2021,2021,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2733,Pigmeat,2022,2022,kg/cap,0.01,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2733,Pigmeat,2022,2022,kcal/cap/d,0.03,E,Estimated value,
